taxonomy id,qid,chart type,template,answer_type
1a,28a,all,Is there a title in the chart?,Binary
2c,27,all,Are the values on the major ticks of dependent axis written in scientific E-notation ?,Binary
2e,89,all,Is there a legend title?,Binary
2g,29,all,Does <legend_label/x_label/y-label> appear as one of the legend labels in the graph?,Binary
2i,91,all,"Other than the graph objects, is there any other text present on the graph plot area?",Binary
3a,1,all,Does the chart contain any zero data values?,Binary
2j,16,bar,Are all the bars in the chart visually horizontal?,Binary
2j,16a,bar,Are all the bars in the chart visually vertical?,Binary
1b,74,bar,Are the bars grouped?,Binary
1b,75,bar,Are the bars stacked?,Binary
2h,10,Bar,Are the number of bars on each tick equal to the number of data series?,Binary
4b,63,bar,Is the difference between the value of <Y title> at <ithx tick> and < jthx tick> greater than the difference between any two <plural form of X title>?,Binary
4b,65,bar,Is the sum of the value of <Y title> in < ithx tick> and <(i + 1)thx tick> greater than the maximum value of <Y title> across all <plural form of X title> ?,Binary
4b,72,bar,"Is it the case that in every <singular form of X title>, the sum of the value of <Y title> for <legend label1> and <legend label2> is greater than the value of <Y title> for <legend label3> ?",Binary
4b,73,bar,Is the sum of the values of <Y title> for <legend label1> at < ithx tick> and < jthx tick> greater than the maximum value of <Y title> for <legend label2> across all <plural form of X title>?,Binary
4b,59,"bar, line",Is the value of <Y title> at < ith x tick> less than that at < jth x tick> ?,Binary
4b,62,"bar,line",Is the value of <Y title> for <legend label> at < ith x tick> less than that at < jth x tick> ?,Binary
4b,68,"bar,line",Is the difference between the value of <Y title> for <legend label1> at < ithx tick> and at < jthx tick> greater than the difference between the value of <Y title> for <legend label2> at < ithx tick> and at < jthx tick> ?,Binary
4b,146,Box,Does any <plural form X_label> have equal inter-quartile range?,Binary
4b,166,Box,Is the value of median at < ith x tick> less than that at < jth x tick>?,Binary
4b,167,Box,Is the value of upper quartile at < ith x tick> less than that at < jth x tick>?,Binary
4b,168,Box,Is the value of lower quartile at < ith x tick> less than that at < jth x tick>?,Binary
4b,169,Box,Is the maximum value at < ith x tick> less than that at < jth x tick>?,Binary
4b,170,Box,Is the minimum value at < ith x tick> less than that at < jth x tick>?,Binary
2j,18,Line,Is the number of lines equal to the number of legend labels?,Binary
2j,18a,Line,Is the number of lines equal to the number of mark labels?,Binary
4b,35,line,Does the <Y title> monotonically increase over the <plural form of X title> ?,Binary
4b,65a,line,Is the sum of the value of <Y title> in < ithx tick> and <(i + 1)thx tick> greater than the maximum value of <Y title> across all major ticks on independent axis?,Binary
4b,73a,line,Is the sum of the values of <Y title> for <legend label1> at < ithx tick> and < jthx tick> greater than the maximum value of <Y title> for <legend label2> across all major ticks on independent axis?,Binary
4b,116,Line,Is the <legend-label> monotonically increasing?,Binary
4b,117,Line,Is the <legend_label> monotonically decreasing?,Binary
4b,63a,"line,scatter",Is the difference between the value of <Y title> at <ithx tick> and < jthx tick> greater than the difference between any two major ticks on independent axis?,Binary
4b,121,Scatter,Does <legend_label> have low positive correlation?,Binary
4b,122,Scatter,Does <legend_label> have high positive correlation?,Binary
4b,123,Scatter,Does <legend_label> have low negative correlation?,Binary
4b,124,Scatter,Does <legend_label> have high negative correlation?,Binary
2a,80,all,What is the maximum value on independent axis?,Numerical
2a,81,all,What is the starting value on independent axis?,Numerical
2c,26,all,What is the difference between two consecutive major ticks of the dependant variable?,Numerical
2c,84,All,What is the maximum value on dependent axis?,Numerical
2c,86,All,What is the starting value on dependent axis?,Numerical
2g,4,all,How many legend labels are there?,Numerical
3a,7,all,How many <figure-type>s are visually present?,Numerical
2j,12,bar,"How many bars are there on the ith tick from the left,visually?",Numerical
2j,13,bar,"How many bars are there on the ith tick from the right,visually?",Numerical
2j,14,bar,"How many bars are there on the ith tick from the top,visually?",Numerical
2j,15,bar,"How many bars are there on the ith tick from the bottom,visually?",Numerical
4b,9,bar,How many groups of bars are there?,Numerical
1b,76,bar,What is the maximum number of components stacked in every bar?,Numerical
1b,77,bar,What is the minimum number of components stacked in every bar?,Numerical
2b,6,bar,How many <plural form of X title> are there in the chart?,Numerical
2j,32,bar,"In how many cases, is the number of <figure_type> for a given <X_label> not equal to the number of legend labels ?",Numerical
3b,7b,bar,How many bars are there?,Numerical
3b,38,bar,"Across all <plural form of X title>, what is the maximum value of <Y title> ?",Numerical
3b,39,bar,"Across all <plural form of X title>, what is the minimum value of <Y title> ?",Numerical
3b,42,bar,"Across all <plural form of X title>, what is the maximum <Y title> for <legend label> ?",Numerical
3b,43,bar,"Across all <plural form of X title>, what is the minimum <Y title> for <legend label> ?",Numerical
4b,46,bar,What is the sum of <Y-title> ?,Numerical
4b,48,bar,What is the average <Y title> per <singular form of X title> ?,Numerical
4b,49,bar,What is the median <Y title> ?,Numerical
4b,50,bar,What is the total <Y title> for <legend label> in the graph?,Numerical
4b,53,bar,What is the average <Y title> for <legend label> per <singular form of X title> ?,Numerical
4b,56,bar,"In how many <plural form of X title>, is the <Y title> greater than <N> units ?",Numerical
4b,60,bar,"In how many <plural form of X title>, is the value of <Y title> for <legend label> greater than <N> <units>?",Numerical
4b,64,bar,What is the difference between the maximum and the second maximum value of <Y title> ?,Numerical
4b,66,bar,What is the difference between the maximum and the minimum value of <Y title> ?,Numerical
4b,67,bar,"In how many <plural form of X title>, is the value of <Y title> greater than the average value of <Y title> taken over all <plural form of X title> ?",Numerical
4b,69,bar,What is the difference between the values of maximum and the second maximum <Y title> for <legend label> ?,Numerical
4b,70,bar,What is the difference between the maximum and minimum value of <Y title> for <legend label> ?,Numerical
4b,71,bar,"In how many <plural form of X title>, is the value of <Y title> for <legend label> greater than the average value of <Y title> for <legend label> taken over all <plural form of X title> ?",Numerical
4b,55,"bar, line",What is the difference between the <Y title> for <legend label1> and <Y title> for <legend label2> at < ithx tick> ?,Numerical
3b,33,"bar,line",What is the <Y_value> at <(ith) X tick> ?,Numerical
3b,34,"bar,line",What is the <Y_value> of the ith <legend_label> at < ith X_tick> ?,Numerical
4b,47,"bar,line",What is the difference between the value of <Y title> at < ithx tick> and < jthx tick> of <X title> ?,Numerical
4b,51,"bar,line",What is the difference between the value of <Y title> for <legend label> at < ithx tick> and that at <jthx tick> ?,Numerical
4b,52,"bar,line",What is the difference between the value of <Y title> for <legend label1> at < ithx tick> and the value of <Y title> for <legend label2> at <jthx tick> ?,Numerical
4b,58,"bar,line",What is the ratio of the values of <Y title> at < ith x tick> to that at < jth x tick> ?,Numerical
4b,61,"bar,line",What is the ratio of the values of <Y title> for <legend label1> at < ith x tick> to that at <jthx tick>?,Numerical
4b,154,Box,"In how many <plural form of X title>, is the median greater than <N> units?",Numerical
4b,155,Box,"In how many <plural form of X title>, is the upper quartile greater than <N> units?",Numerical
4b,156,Box,"In how many <plural form of X title>, is the lower quartile greater than <N> units?",Numerical
4b,157,Box,"In how many <plural form of X title>, is the maximum value greater than <N> units?",Numerical
4b,158,Box,"In how many <plural form of X title>, is the minimum value greater than <N> units?",Numerical
4b,159,Box,"In how many <plural form of X title>, is the median less than <N> units?",Numerical
4b,160,Box,"In how many <plural form of X title>, is the upper quartile less than <N> units?",Numerical
4b,161,Box,"In how many <plural form of X title>, is the lower quartile less than <N> units?",Numerical
4b,162,Box,"In how many <plural form of X title>, is the maximum value less than <N> units?",Numerical
4b,163,Box,"In how many <plural form of X title>, is the minimum value less than <N> units?",Numerical
4b,164,Box,What is the ratio of upper and lower quartile value at <ith x-tick>?,Numerical
4b,165,Box,What is the ratio of maximum and minimum value at <ith x-tick>?,Numerical
1b,78,line,How many lines are there in the chart?,Numerical
4b,56a,line,"For how many major tick on independent axis, is the value of <Y title> greater than <N> units ?",Numerical
